"year","month","day","num_trips"
"2020","08","17","70307"
"2020","08","18","81731"
"2020","08","19","71402"
"2020","08","20","81169"
"2020","08","21","84731"
"2020","08","22","86993"
"2020","08","23","81708"
"2020","08","24","71067"
"2020","08","25","72003"
"2020","08","26","88018"
"2020","08","27","69265"
"2020","08","28","78089"
"2020","08","29","71208"
"2020","08","30","92357"
"2020","08","31","75602"
"2020","09","1","76594"
"2020","09","2","69911"
"2020","09","3","71241"
"2020","09","4","85279"
"2020","09","5","89483"
"2020","09","6","82915"
"2020","09","7","83805"
"2020","09","8","79176"
"2020","09","9","84332"
"2020","09","10","52856"
"2020","09","11","94568"
"2020","09","12","101385"
"2020","09","13","84588"
"2020","09","14","79166"
"2020","09","15","84044"
"2020","09","16","86895"
"2020","09","17","87417"
"2020","09","18","88916"
"2020","09","19","89887"
"2020","09","20","77595"
"2020","09","21","72057"
"2020","09","22","82799"
"2020","09","23","90520"
"2020","09","24","86845"
"2020","09","25","93632"
"2020","09","26","99193"
"2020","09","27","87331"
"2020","09","28","77986"
"2020","09","29","59768"
"2020","09","30","85734"
"2020","10","1","89661"
"2020","10","2","80908"
"2020","10","3","95475"
"2020","10","4","80568"
"2020","10","5","75746"
"2020","10","6","85556"
"2020","10","7","81200"
"2020","10","8","83911"
"2020","10","9","87565"
"2020","10","10","93827"
"2020","10","11","75331"
"2020","10","12","16392"
"2020","10","13","51827"
"2020","10","14","88327"
"2020","10","15","91221"
"2020","10","16","30651"
"2020","10","17","88260"
"2020","10","18","76828"
"2020","10","19","73279"
"2020","10","20","76132"
"2020","10","21","84077"
"2020","10","22","83782"
"2020","10","23","86868"
"2020","10","24","90503"
"2020","10","25","61813"
"2020","10","26","51095"
"2020","10","27","77976"
"2020","10","28","62793"
"2020","10","29","19051"
"2020","10","30","39511"
"2020","10","31","66703"
